State,Capitol Address,Year Completed,Architect,Architectural Style,Approximate Size (sq ft),Dome Height,Trivia Fact,Latitude,Longitude
Alabama,"600 Dexter Ave, Montgomery, AL 36130",1851,Barachias Holt,Greek Revival,124000,240 ft,The dome was gilded with Alabama gold in 1993.,32.377716,-86.300568
Alaska,"120 4th St, Juneau, AK 99801",1931,James A. Wetmore,Art Deco,93000,,Originally built as a federal building and courthouse.,58.301598,-134.420212
Arizona,"1700 W Washington St, Phoenix, AZ 85007",1901,James Riely Gordon,Neoclassical,40000,Copper dome,The dome is topped with a copper-covered statue named Winged Victory.,33.448143,-112.097345
Arkansas,"500 Woodlane St, Little Rock, AR 72201",1915,George R. Mann,Neoclassical,150000,213 ft,Its design was inspired by the U.S. Capitol.,34.746613,-92.288986
California,"1315 10th St, Sacramento, CA 95814",1874,Reuben Clark,Neoclassical,340000,210 ft,The building survived multiple major earthquakes.,38.576668,-121.493629
Colorado,"200 E Colfax Ave, Denver, CO 80203",1908,Elijah E. Myers,Neoclassical,206000,180 ft,The dome is covered in real gold leaf from Colorado mines.,39.739227,-104.984856
Connecticut,"210 Capitol Ave, Hartford, CT 06106",1878,Richard M. Upjohn,High Victorian Gothic,540000,257 ft,The dome is crowned by a statue called The Genius of Connecticut.,41.764046,-72.682198
Delaware,"411 Legislative Ave, Dover, DE 19901",1933,William Gehron,Georgian Revival,85000,,Known as Legislative Hall rather than a capitol.,39.157307,-75.519722
Florida,"400 S Monroe St, Tallahassee, FL 32399",1977,Edward Durell Stone,Modernist,500000,22 stories,The old capitol still stands directly in front of it.,30.438118,-84.281296
Georgia,"206 Washington St SW, Atlanta, GA 30334",1889,Edbrooke and Burnham,Renaissance Revival,272000,272 ft,Its dome is covered in gold leaf from Dahlonega.,33.749027,-84.388229
Hawaii,"415 S Beretania St, Honolulu, HI 96813",1969,John Carl Warnecke,International Style,250000,Open-air,The building has no central dome due to Hawaii’s climate.,21.307442,-157.857376
Idaho,"700 W Jefferson St, Boise, ID 83702",1920,John E. Tourtellotte,Classical Revival,201000,208 ft,Built using sandstone from local quarries.,43.617775,-116.199722
Illinois,"401 S 2nd St, Springfield, IL 62706",1888,Alfred H. Piquenard,French Renaissance,405000,361 ft,It has the tallest non-municipal dome in the U.S.,39.798363,-89.654961
Indiana,"200 W Washington St, Indianapolis, IN 46204",1888,Edwin May,Renaissance Revival,240000,255 ft,The interior contains extensive Indiana limestone.,39.768623,-86.162643
Iowa,"1007 E Grand Ave, Des Moines, IA 50319",1886,John C. Cochrane,Renaissance Revival,315000,275 ft,One of only five state capitols with five domes.,41.591087,-93.603729
Kansas,"300 SW 10th Ave, Topeka, KS 66612",1903,E. Townsend Mix,Renaissance Revival,304000,304 ft,The murals depict controversial frontier scenes.,39.048191,-95.677956
